MGI_symbol	gene_name	mito_process	gene_function	chr	obsolete_symbols	MGI_ID	MGI_symbol	ENSM_ID	ENSM_name	NCBI_ID	NCBI_name
Aadat	aminoadipate aminotransferase	Amino Acid Metabolism	Shows activity also towards tryptophan, aspartate and hydroxykinurenine	8	AI875679, Aadt, KATII, Kat2, Kyat2, mKat-2	MGI:1345167	Aadat	ENSMUSG00000057228	Aadat	23923	Aadat
Aass	aminoadipate-semialdehyde synthase	Amino Acid Metabolism	Bifunctional enzyme that catalyzes the first two steps in lysine degradation. The N-terminal and the C-terminal contain lysine-oxoglutarate reductase and saccharopine dehydrogenase activity, respectively	6	LKR, LKR/SDH, LOR, LOR/SDH, Lorsdh, SDH	MGI:1353573	Aass	ENSMUSG00000029695	Aass	30956	Aass
Abat	4-aminobutyrate aminotransferase	Amino Acid Metabolism	Catalyzes the conversion of gamma-aminobutyrate and L- beta-aminoisobutyrate to succinate semialdehyde and methylmalonate semialdehyde, respectively. Can also convert delta-aminovalerate and beta-alanine (By similarity)	16	9630038C02Rik, AI255750, Gabaat, Gabat, Gm9851, I54, Laibat, X61497	MGI:2443582	Abat	ENSMUSG00000057880	Abat	268860	Abat
Abhd10	abhydrolase domain containing 10	Amino Acid Metabolism	similarity:Belongs to the AB hydrolase superfamily	16		MGI:2442422	Abhd10	ENSMUSG00000033157	Abhd10	213012	Abhd10
Abhd11	abhydrolase domain containing 11	Amino Acid Metabolism	induction:Up-regulated by rosiglitazone and down-regulated by high fat feedingsimilarity:Belongs to the AB hydrolase superfamilytissue specificity:Expressed in white adipose tissues	5	1110054D16Rik, A630008N09Rik, Wbscr21	MGI:1916008	Abhd11	ENSMUSG00000040532	Abhd11	68758	Abhd11
Abhd16a	abhydrolase domain containing 16A	Amino Acid Metabolism	similarity:Belongs to the BAT5 family	17	AI326074, Bat-5, Bat5, D17H6S82E, NG26	MGI:99476	Abhd16a	ENSMUSG00000007036	Abhd16a	193742	Abhd16a
Acat1	acetyl-Coenzyme A acetyltransferase 1	Amino Acid Metabolism	Plays a major role in ketone body metabolism (By similarity)	9	6330585C21Rik, Acat	MGI:87870	Acat1	ENSMUSG00000032047	Acat1	110446	Acat1
Ado	2-aminoethanethiol (cysteamine) dioxygenase	Amino Acid Metabolism	catalytic activity:2-aminoethanethiol + O(2) = hypotaurinecofactor:Irontissue specificity:Ubiquitous, with highest expression in brain, heart and skeletal muscle (at protein level)	10	Gm237	MGI:2685083	Ado	ENSMUSG00000057134	Ado	211488	Ado
Agmat	agmatine ureohydrolase (agmatinase)	Amino Acid Metabolism	"catalytic activity:Agmatine + H(2)O = putrescine + ureacofactor:Manganese pathway:Amine and polyamine biosynthesis; putrescine biosynthesis via agmatine pathway; putrescine from agmatine (ADC route): step 1/1similarity:Belongs to the arginase family. Agmatinase subfamily"	4	5033405N08Rik	MGI:1923236	Agmat	ENSMUSG00000040706	Agmat	75986	Agmat
Agxt	alanine-glyoxylate aminotransferase	Amino Acid Metabolism	Dual metabolic roles of gluconeogenesis (in the mitochondria) and glyoxylate detoxification (in the peroxisomes) (By similarity)	1	AGT, Agt11, SPT, Agxt	MGI:1329033	Agxt	ENSMUSG00000026272	Agxt	11611	Agxt
