#node1	node2
Rps6kb1	Mtor
Bcl2l11	Bcl2l1
Bad	Bcl2l1
Atp5g1	Atp5g3
Ndufs1	Ndufs3
Ndufb9	Ndufa2
Ndufs4	Ndufa2
Ndufv2	Ndufab1
Ndufa3	Ndufab1
Ndufs2	Ndufs3
Ndufa9	Ndufa6
Ndufab1	Ndufb3
Ndufa6	Ndufs3
Ndufa10	Ndufa2
mt-Nd4	Ndufa2
mt-Nd2	Ndufa6
Ndufa9	Ndufab1
Ndufa8	Ndufab1
Ndufv1	Ndufa6
Ndufa9	Ndufa2
mt-Nd2	Ndufab1
Ndufb4	Ndufs3
Ndufs1	Ndufs2
Ndufs5	Ndufa6
Ndufb11	Ndufab1
Ndufa2	Ndufs3
Ndufs1	Ndufa2
Ndufa13	Ndufa2
Ndufs7	Ndufs8
Ndufs7	Ndufa6
Ndufa13	Ndufa6
Ndufa8	Ndufa6
Ndufb7	Ndufa2
Ndufb4	Ndufa6
Ndufab1	Ndufc2
Ndufs1	Ndufa6
mt-Nd3	Ndufab1
Ndufs4	Ndufs3
Ndufb5	Ndufa6
Ndufc2	Ndufa2
mt-Nd1	Ndufab1
Ndufa5	Ndufa2
Ndufa7	Ndufab1
Ndufa7	Ndufa6
Ndufab1	Ndufa6
Ndufa6	Ndufa1
mt-Nd1	Ndufv1
Ndufa7	Ndufs3
Ndufc2	Ndufa6
Ndufab1	Ndufa10
Ndufab1	Ndufs4
Ndufb4	Ndufs4
Ndufa6	Ndufs2
Ndufa2	Ndufa11
Ndufa7	Ndufs5
Ndufb10	Ndufa6
Ndufb5	Ndufab1
Ndufv2	Ndufa2
Ndufb6	Ndufa6
Ndufv1	Ndufs2
Ndufc1	Ndufab1
Ndufab1	Ndufb9
Ndufa6	Ndufa2
Ndufa7	Ndufs4
mt-Nd1	Ndufa6
Ndufv1	Ndufa2
Ndufb10	Ndufa2
Ndufv2	Ndufv1
Ndufb5	Ndufs5
Ndufv2	Ndufs4
mt-Nd1	Ndufa2
Ndufab1	Ndufs1
Ndufab1	Ndufs5
Ndufs5	Ndufa2
Ndufb6	Ndufs5
Ndufb2	Ndufab1
Ndufab1	Ndufa2
Ndufv2	Ndufs3
Ndufb6	Ndufab1
mt-Nd4	Ndufa6
Ndufv1	Ndufab1
Ndufa8	Ndufa2
Ndufs7	Ndufa2
Ndufab1	Ndufs3
Ndufb2	Ndufa6
mt-Nd3	Ndufa6
Ndufv1	Ndufb4
Ndufs6	Ndufs3
Ndufa3	Ndufa6
Ndufs1	Ndufs6
Ndufa5	Ndufa6
Ndufa10	Ndufa6
Ndufb10	Ndufab1
Ndufs8	Ndufab1
mt-Nd4	Ndufab1
Ndufa6	Ndufs4
Ndufb5	Ndufs1
Ndufa8	Ndufs5
Ndufab1	Ndufs2
Ndufv2	Ndufs2
Ndufab1	Ndufa11
Ndufab1	Ndufb4
Ndufb8	Ndufa6
Ndufs8	Ndufa2
Ndufb7	Ndufab1
Ndufb5	Ndufa2
Ndufb10	Ndufs4
Ndufab1	Ndufb8
Ndufb5	Ndufb6
Ndufv2	Ndufs1
Ndufs6	Ndufa2
Ndufs7	Ndufab1
Ndufb7	Ndufa6
Ndufs8	Ndufa6
Ndufab1	Ndufs6
Ndufb8	Ndufa2
Ndufab1	Ndufa5
Ndufa6	Ndufb9
Ndufv2	Ndufa6
Ndufab1	Ndufa1
Ndufa7	Ndufa2
Ndufa6	Ndufs6
Ndufa2	Ndufs2
Ndufa6	Ndufa11
Ndufv2	Ndufs6
Ndufa9	Ndufs6
Ndufb6	Ndufs8
Ndufb10	Ndufs3
mt-Nd1	Ndufs4
Ndufs8	Ndufs1
Ndufb3	Ndufa6
Ndufs8	Ndufa8
Ndufs5	Ndufs2
Ndufb10	Ndufs6
Ndufs7	Ndufb7
Ndufb8	Ndufs3
Ndufs7	Ndufa5
Ndufs8	Ndufs2
mt-Nd1	Ndufs1
Ndufa9	Ndufs1
Ndufv2	Ndufb4
Ndufs7	Ndufv1
Ndufv2	mt-Nd5
Ndufa8	Ndufa7
Ndufb3	Ndufa2
Ndufa13	Ndufab1
Ndufb5	Ndufs3
mt-Nd4	Ndufs6
Ndufs7	Ndufs2
mt-Nd5	Ndufab1
Ndufv2	Ndufa8
Ndufb5	Ndufb7
Pkia	Prkaca
Ndufa8	Ndufv1
Ndufa9	Ndufs2
Ndufa12	Ndufs7
mt-Nd4	Ndufs4
Ndufv2	Ndufs5
Ndufv2	Ndufa5
Ndufs8	Ndufs3
Ndufa9	Ndufv1
Ndufs5	Ndufs4
Ndufa3	Ndufs3
Ndufa9	Ndufb4
mt-Nd6	Ndufs5
Ndufv2	Ndufa7
Ndufb2	Ndufs8
Ndufb7	Ndufs3
Ndufa9	Ndufs3
Ndufs7	Ndufs1
Ndufa5	Ndufs4
Ndufb5	mt-Nd4
Ndufs7	Ndufb10
Ndufv1	Ndufs3
Ndufb7	Ndufa10
mt-Nd5	Ndufa6
Ndufs5	Ndufs1
Ndufb6	Ndufa7
Ndufb6	Ndufs3
Ndufa7	Ndufs6
Ndufa9	Ndufs5
Ndufb4	Ndufs2
Ndufs7	Ndufs3
Ndufs7	Ndufs5
Ndufv1	Ndufs5
Ndufb5	Ndufb10
Ndufs8	Ndufs6
Ndufb5	Ndufa9
Ndufa12	Ndufa2
Ndufv2	Ndufa9
Ndufs8	Ndufv1
Ndufb5	Ndufb8
Ndufb8	Ndufb9
mt-Nd1	Ndufs3
mt-Nd5	Ndufs3
Ndufs7	Ndufb6
Ndufb6	Ndufa8
mt-Nd4	Ndufa8
Ndufs5	Ndufb4
Ndufv2	Ndufs8
mt-Nd1	Ndufs5
Ndufv1	Ndufs1
mt-Nd5	Ndufv1
Ndufs8	Ndufs4
Ndufb10	Ndufs5
mt-Nd4	Ndufs3
Ndufb5	Ndufs6
Ndufa8	Ndufs2
Ndufa13	Ndufs1
Ndufa9	Ndufa7
Ndufv2	Ndufb6
Ndufb4	Ndufs6
Ndufv1	Ndufs6
Ndufa9	Ndufb9
Ndufb8	Ndufs4
Ndufa9	Ndufb8
Ndufs5	Ndufs6
Ndufb10	Ndufs1
Ndufs8	Ndufs5
Ndufa12	Ndufb4
Ndufb5	Ndufs7
Ndufb9	Ndufs3
mt-Nd4	Ndufs5
Ndufa13	Ndufs3
Ndufb7	Ndufs5
Ndufs7	Ndufa8
Ndufs7	Ndufa9
Ndufa12	Ndufab1
mt-Nd6	Ndufs3
Ndufs5	Ndufs3
Ndufv2	Ndufa10
Ndufa8	Ndufs3
Ndufv2	Ndufs7
Ndufb6	Ndufs2
Ndufa8	Ndufb7
Ndufs5	Ndufb9
Ndufa12	Ndufa6
Ndufb5	Ndufb9
Ndufs7	Ndufs6
Ndufv1	Ndufs4
Ndufa12	Ndufa9
Ndufa9	Ndufs4
Ndufb5	Ndufs8
Ndufa9	mt-Nd3
Ndufa5	Ndufs3
Ndufb6	Ndufs1
Ndufs1	Ndufs4
Ndufa9	Ndufa10
Ndufs6	Ndufs2
Ndufv2	mt-Nd1
Ndufa8	Ndufs6
Ndufs1	Ndufb9
mt-Nd5	Ndufs4
Ndufb5	Ndufc2
Ndufa8	Ndufb9
Ndufb5	Ndufa8
Ndufb2	Ndufb3
Ndufs4	Ndufs2
Ndufa3	Ndufa8
Ndufa8	Ndufs4
Ndufa3	Ndufa7
Ndufa12	Ndufs3
Ndufa12	Ndufs8
Ndufa3	Ndufs5
Ndufb11	Ndufa2
Ndufb5	Ndufs4
